OrderID,OrderDate,ShipDate,CustomerID,ProductID,Region,Quantity,UnitPrice,Discount,Sales,ShippingCost,Profit,Category,SubCategory
ORD000001,2020-12-12,2020-12-15,C02099,P0094,Central,2,78.65,0.15,133.71,5.59,26.23,Home & Kitchen,Decor
ORD000002,2020-01-09,2020-01-10,C00839,P0101,East,1,137.36,0.0,137.36,16.26,23.53,Home & Kitchen,Bedding
ORD000003,2022-06-13,2022-06-14,C02753,P0017,North,1,37.21,0.0,37.21,6.89,2.33,Fashion,Footwear
ORD000004,2024-10-15,2024-10-17,C00674,P0049,West,2,233.01,0.05,442.72,14.85,45.67,Electronics,Laptop
ORD000005,2023-03-27,2023-03-31,C02589,P0077,Central,1,143.14,0.0,143.14,7.6,21.41,Home & Kitchen,Furniture
ORD000006,2022-07-22,2022-07-25,C00148,P0021,West,1,53.07,0.05,50.42,9.42,6.65,Fashion,Accessories
ORD000007,2019-10-05,2019-10-08,C01073,P0044,Central,1,230.16,0.0,230.16,10.23,21.15,Electronics,Laptop
ORD000008,2022-11-04,2022-11-09,C01092,P0088,Central,2,148.6,0.0,297.2,8.18,81.4,Home & Kitchen,Cookware
ORD000009,2024-12-20,2024-12-23,C02627,P0088,West,1,148.6,0.25,111.45,2.52,19.98,Home & Kitchen,Cookware
ORD000010,2019-12-01,2019-12-06,C00289,P0079,West,1,120.28,0.25,90.21,8.5,0.76,Home & Kitchen,Furniture
ORD000011,2022-02-22,2022-02-26,C01327,P0012,South,1,36.14,0.05,34.33,6.21,3.7,Fashion,Footwear
ORD000012,2024-05-07,2024-05-10,C02575,P0097,West,1,139.5,0.05,132.53,12.51,27.4,Home & Kitchen,Decor
ORD000013,2023-08-03,2023-08-04,C01486,P0083,West,2,103.11,0.15,175.29,8.0,33.92,Home & Kitchen,Cookware
ORD000014,2023-03-29,2023-03-30,C02198,P0103,East,1,184.95,0.0,184.95,6.35,43.91,Home & Kitchen,Bedding
ORD000015,2023-04-14,2023-04-16,C01781,P0030,Central,1,30.05,0.15,25.54,3.07,1.89,Fashion,Accessories
ORD000016,2021-03-17,2021-03-19,C02037,P0055,Central,1,244.91,0.0,244.91,11.4,38.64,Electronics,Audio
ORD000017,2020-11-17,2020-11-21,C01658,P0097,Central,2,139.5,0.15,237.15,13.23,49.86,Home & Kitchen,Decor
ORD000018,2023-12-04,2023-12-09,C02161,P0009,South,1,64.1,0.5,32.05,8.0,-7.97,Fashion,Clothing
ORD000019,2023-12-05,2023-12-06,C01782,P0017,South,1,37.21,0.05,35.35,3.41,4.69,Fashion,Footwear
ORD000020,2024-04-07,2024-04-10,C02804,P0021,East,1,53.07,0.1,47.76,2.55,11.93,Fashion,Accessories
ORD000021,2024-08-18,2024-08-25,C00180,P0084,West,1,132.52,0.1,119.27,6.86,26.59,Home & Kitchen,Cookware
ORD000022,2022-02-02,2022-02-06,C00304,P0014,North,1,76.77,0.0,76.77,3.59,21.23,Fashion,Footwear
ORD000023,2022-01-05,2022-01-06,C00532,P0042,Central,2,264.79,0.0,529.58,18.52,97.54,Electronics,Laptop
ORD000024,2023-11-23,2023-11-28,C00054,P0073,South,1,149.6,0.05,142.12,11.13,25.88,Home & Kitchen,Furniture
ORD000025,2022-12-12,2022-12-15,C01374,P0088,West,2,148.6,0.05,282.34,5.43,75.23,Home & Kitchen,Cookware
ORD000026,2023-04-13,2023-04-16,C01449,P0063,West,2,244.59,0.15,415.8,15.74,30.15,Electronics,Wearable
ORD000027,2023-11-20,2023-11-23,C01725,P0035,South,1,198.01,0.0,198.01,16.82,11.35,Electronics,Mobile
ORD000028,2024-06-13,2024-06-17,C00401,P0032,North,1,292.4,0.1,263.16,16.58,40.53,Electronics,Mobile
ORD000029,2021-01-14,2021-01-15,C02332,P0095,South,1,123.98,0.15,105.38,11.1,7.03,Home & Kitchen,Decor
ORD000030,2021-05-02,2021-05-04,C02307,P0022,South,1,66.6,0.1,59.94,6.25,8.56,Fashion,Accessories
ORD000031,2019-09-28,2019-09-30,C01912,P0068,West,1,231.1,0.0,231.1,7.17,29.11,Electronics,Wearable
ORD000032,2022-08-14,2022-08-17,C01000,P0073,South,1,149.6,0.05,142.12,11.09,25.92,Home & Kitchen,Furniture
ORD000033,2019-04-14,2019-04-19,C01142,P0109,Central,1,95.52,0.0,95.52,8.37,16.2,Home & Kitchen,Bedding
ORD000034,2021-11-24,2021-11-28,C02629,P0028,East,2,12.9,0.1,23.22,11.1,-3.51,Fashion,Accessories
ORD000035,2022-05-04,2022-05-06,C02430,P0097,North,1,139.5,0.05,132.53,7.29,32.62,Home & Kitchen,Decor
ORD000036,2020-11-09,2020-11-13,C02809,P0050,South,1,264.68,0.15,224.98,18.5,30.9,Electronics,Laptop
ORD000037,2022-09-19,2022-09-20,C02660,P0064,East,1,203.37,0.0,203.37,16.84,20.0,Electronics,Wearable
ORD000038,2019-03-30,2019-04-02,C00447,P0006,South,1,88.06,0.0,88.06,10.84,21.87,Fashion,Clothing
ORD000039,2019-04-18,2019-04-20,C02146,P0010,North,3,9.58,0.0,28.74,5.33,4.03,Fashion,Clothing
ORD000040,2023-12-19,2023-12-23,C01368,P0001,East,2,75.87,0.0,151.74,3.63,48.25,Fashion,Clothing
ORD000041,2021-03-19,2021-03-21,C01058,P0023,North,1,129.54,0.15,110.11,6.05,16.26,Fashion,Accessories
ORD000042,2019-11-18,2019-11-19,C00962,P0029,North,1,19.12,0.25,14.34,1.82,1.36,Fashion,Accessories
ORD000043,2022-03-06,2022-03-11,C00546,P0050,North,2,264.68,0.0,529.36,11.31,135.13,Electronics,Laptop
ORD000044,2023-10-16,2023-10-19,C01325,P0001,West,1,75.87,0.1,68.28,9.35,12.04,Fashion,Clothing
ORD000045,2020-05-22,2020-05-25,C02669,P0088,Central,2,148.6,0.0,297.2,9.39,80.19,Home & Kitchen,Cookware
ORD000046,2022-11-13,2022-11-16,C02697,P0007,West,1,41.46,0.0,41.46,4.84,6.01,Fashion,Clothing
ORD000047,2019-09-03,2019-09-07,C01742,P0050,East,1,264.68,0.0,264.68,15.61,57.61,Electronics,Laptop
ORD000048,2019-05-29,2019-05-30,C02965,P0068,East,1,231.1,0.0,231.1,10.55,25.73,Electronics,Wearable
ORD000049,2022-04-01,2022-04-06,C00499,P0108,East,1,141.35,0.0,141.35,9.58,36.96,Home & Kitchen,Bedding
ORD000050,2022-04-28,2022-05-03,C02994,P0003,Central,1,46.53,0.05,44.2,4.8,5.01,Fashion,Clothing
ORD000051,2022-11-28,2022-12-01,C00466,P0108,North,1,141.35,0.0,141.35,3.58,42.96,Home & Kitchen,Bedding
ORD000052,2023-06-21,2023-06-25,C02377,P0063,North,1,244.59,0.0,244.59,10.64,34.32,Electronics,Wearable
ORD000053,2024-12-04,2024-12-05,C00696,P0040,North,1,266.0,0.0,266.0,14.85,52.67,Electronics,Mobile
ORD000054,2022-02-17,2022-02-19,C01943,P0009,West,1,64.1,0.0,64.1,1.35,17.91,Fashion,Clothing
ORD000055,2020-12-19,2020-12-24,C00230,P0026,East,1,76.46,0.0,76.46,3.95,14.87,Fashion,Accessories
ORD000056,2023-11-20,2023-11-22,C01204,P0046,East,1,304.09,0.0,304.09,14.51,68.73,Electronics,Laptop
ORD000057,2020-10-17,2020-10-21,C02383,P0082,South,1,102.52,0.0,102.52,9.61,16.13,Home & Kitchen,Cookware
ORD000058,2021-10-20,2021-10-22,C01407,P0039,Central,1,238.09,0.0,238.09,14.41,44.44,Electronics,Mobile
ORD000059,2019-08-15,2019-08-19,C00361,P0072,South,1,128.1,0.0,128.1,6.49,26.15,Home & Kitchen,Furniture
ORD000060,2019-03-15,2019-03-20,C01023,P0082,Central,2,102.52,0.15,174.28,10.15,22.88,Home & Kitchen,Cookware
ORD000061,2024-11-20,2024-11-22,C01864,P0083,Central,1,103.11,0.05,97.95,5.9,21.25,Home & Kitchen,Cookware
ORD000062,2024-01-09,2024-01-11,C02284,P0029,East,2,19.12,0.1,34.42,2.52,7.29,Fashion,Accessories
ORD000063,2023-03-26,2023-03-27,C00542,P0018,North,2,88.74,0.0,177.48,6.16,53.42,Fashion,Footwear
ORD000064,2021-08-06,2021-08-07,C02407,P0102,North,1,108.96,0.0,108.96,6.7,27.05,Home & Kitchen,Bedding
ORD000065,2020-01-20,2020-01-23,C02483,P0034,South,1,256.12,0.1,230.51,17.6,35.62,Electronics,Mobile
ORD000066,2019-12-20,2019-12-27,C02001,P0049,North,1,233.01,0.0,233.01,13.34,23.91,Electronics,Laptop
ORD000067,2020-08-29,2020-09-03,C02847,P0013,Central,1,39.86,0.1,35.87,3.05,7.01,Fashion,Footwear
ORD000068,2022-05-22,2022-05-24,C00514,P0009,South,1,64.1,0.05,60.89,2.13,15.21,Fashion,Clothing
ORD000069,2023-05-19,2023-05-22,C00662,P0085,West,2,140.59,0.0,281.18,7.22,59.4,Home & Kitchen,Cookware
ORD000070,2022-12-24,2022-12-26,C02817,P0086,South,1,166.52,0.0,166.52,5.75,29.99,Home & Kitchen,Cookware
ORD000071,2020-11-02,2020-11-04,C00126,P0051,West,1,287.29,0.2,229.83,18.18,24.61,Electronics,Audio
ORD000072,2024-11-11,2024-11-13,C02263,P0030,East,1,30.05,0.0,30.05,8.25,-0.59,Fashion,Accessories
ORD000073,2023-07-25,2023-07-26,C00045,P0037,North,2,292.77,0.1,526.99,19.13,84.1,Electronics,Mobile
